Well,Well Position,Sample Name,Target Name,Reporter,Quencher,CT,Ct Mean,Automatic Ct Threshold,Ct Threshold
94,D22,000001-2031,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
94,D22,000001-2031,rApoB,VIC,NFQ-MGB,24.814,24.802,FALSE,0.032
95,D23,000001-2032,Assay1,FAM,NFQ-MGB,24.585,24.567,TRUE,0.04
95,D23,000001-2032,rApoB,VIC,NFQ-MGB,23.831,23.757,FALSE,0.032
96,D24,000001-2032,Assay1,FAM,NFQ-MGB,24.566,24.567,TRUE,0.04
96,D24,000001-2032,rApoB,VIC,NFQ-MGB,23.671,23.757,FALSE,0.032
97,E1,000002-2050,Assay1,FAM,NFQ-MGB,26.676,26.768,TRUE,0.04
97,E1,000002-2050,rApoB,VIC,NFQ-MGB,25.81,25.917,FALSE,0.032
98,E2,000002-2050,Assay1,FAM,NFQ-MGB,26.861,26.768,TRUE,0.04
98,E2,000002-2050,rApoB,VIC,NFQ-MGB,25.992,25.917,FALSE,0.032
99,E3,000002-2051,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
99,E3,000002-2051,rApoB,VIC,NFQ-MGB,26.111,25.769,FALSE,0.032
100,E4,000002-2051,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
100,E4,000002-2051,rApoB,VIC,NFQ-MGB,25.7,25.769,FALSE,0.032
101,E5,000002-2052,Assay1,FAM,NFQ-MGB,25.862,25.749,TRUE,0.04
101,E5,000002-2052,rApoB,VIC,NFQ-MGB,25.426,25.204,FALSE,0.032
102,E6,000002-2052,Assay1,FAM,NFQ-MGB,25.617,25.749,TRUE,0.04
102,E6,000002-2052,rApoB,VIC,NFQ-MGB,25.039,25.204,FALSE,0.032
103,E7,000002-2053,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
103,E7,000002-2053,rApoB,VIC,NFQ-MGB,25.106,25.006,FALSE,0.032
104,E8,000002-2053,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
104,E8,000002-2053,rApoB,VIC,NFQ-MGB,24.832,25.006,FALSE,0.032
105,E9,000002-2054,Assay1,FAM,NFQ-MGB,26.725,26.533,TRUE,0.04
105,E9,000002-2054,rApoB,VIC,NFQ-MGB,25.767,25.701,FALSE,0.032
106,E10,000002-2054,Assay1,FAM,NFQ-MGB,26.433,26.533,TRUE,0.04
106,E10,000002-2054,rApoB,VIC,NFQ-MGB,25.527,25.701,FALSE,0.032
107,E11,000002-2055,Assay1,FAM,NFQ-MGB,26.436,26.441,TRUE,0.04
107,E11,000002-2055,rApoB,VIC,NFQ-MGB,25.342,25.604,FALSE,0.032
108,E12,000002-2055,Assay1,FAM,NFQ-MGB,26.458,26.441,TRUE,0.04
108,E12,000002-2055,rApoB,VIC,NFQ-MGB,25.654,25.604,FALSE,0.032
109,E13,000002-2056,Assay1,FAM,NFQ-MGB,26.563,26.331,TRUE,0.04
109,E13,000002-2056,rApoB,VIC,NFQ-MGB,25.713,25.413,FALSE,0.032
110,E14,000002-2056,Assay1,FAM,NFQ-MGB,26.189,26.331,TRUE,0.04
110,E14,000002-2056,rApoB,VIC,NFQ-MGB,25.241,25.413,FALSE,0.032
111,E15,000002-2057,Assay1,FAM,NFQ-MGB,26.594,26.337,TRUE,0.04
111,E15,000002-2057,rApoB,VIC,NFQ-MGB,25.556,25.38,FALSE,0.032
112,E16,000002-2057,Assay1,FAM,NFQ-MGB,26.15,26.337,TRUE,0.04
112,E16,000002-2057,rApoB,VIC,NFQ-MGB,25.245,25.38,FALSE,0.032
113,E17,000002-2058,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
113,E17,000002-2058,rApoB,VIC,NFQ-MGB,25.63,25.415,FALSE,0.032
114,E18,000002-2058,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
114,E18,000002-2058,rApoB,VIC,NFQ-MGB,25.208,25.415,FALSE,0.032
115,E19,000002-2059,Assay1,FAM,NFQ-MGB,25.444,25.297,TRUE,0.04
115,E19,000002-2059,rApoB,VIC,NFQ-MGB,24.649,24.528,FALSE,0.032
